,date,obs,pred
263,19/09/2000,2.7778,3.335228958
264,20/09/2000,2.7386,2.987850437
265,21/09/2000,2.7796,2.550816407
266,22/09/2000,2.7011,2.529919092
267,23/09/2000,2.7293,2.827776361
268,24/09/2000,2.5331,2.437842244
269,25/09/2000,2.3714,2.418611395
270,26/09/2000,3.0748,3.852617655
271,27/09/2000,6.6672,7.270493945
272,28/09/2000,5.5381,5.575870078
273,29/09/2000,4.6819,3.924323872
274,30/09/2000,4.0654,2.978265496
275,1/10/2000,3.6303,2.480984514
276,2/10/2000,3.2609,2.175472191
277,3/10/2000,3.0871,1.959146298
278,4/10/2000,2.7333,1.800274958
279,5/10/2000,2.5468,1.688300337
280,6/10/2000,2.3324,1.608374206
281,7/10/2000,2.115,1.524384643
282,8/10/2000,1.9347,1.450071778
283,9/10/2000,1.8113,1.386217302
284,10/10/2000,1.7332,1.331259511
285,11/10/2000,1.711,1.295381289
286,12/10/2000,1.71,1.388961559
287,13/10/2000,2.3058,1.832145529
288,14/10/2000,1.9003,2.467674995
289,15/10/2000,1.6577,2.227930121
290,16/10/2000,1.5973,2.102569615
291,17/10/2000,1.6153,2.161705596
292,18/10/2000,1.4702,1.981705741
293,19/10/2000,1.3828,1.7696311
294,20/10/2000,1.3104,1.60535752
295,21/10/2000,1.2396,1.489026646
296,22/10/2000,1.2003,1.39787511
297,23/10/2000,1.1684,1.321735445
298,24/10/2000,1.1212,1.256409763
299,25/10/2000,1.0862,1.214358745
300,26/10/2000,1.072,1.32406566
301,27/10/2000,1.5616,1.852974932
302,28/10/2000,1.5194,2.637272649
303,29/10/2000,1.2124,2.410755529
304,30/10/2000,1.1875,2.615282305
305,31/10/2000,2.1063,3.335614302
306,1/11/2000,1.6613,2.783655599
307,2/11/2000,1.4411,2.265316346
308,3/11/2000,1.309,1.913867068
309,4/11/2000,1.2169,1.702200781
310,5/11/2000,1.2899,1.614849045
311,6/11/2000,1.3809,1.788601649
312,7/11/2000,1.5616,2.239972699
313,8/11/2000,1.5305,2.198108012
314,9/11/2000,1.3215,2.029597179
315,10/11/2000,1.2364,2.373899991
316,11/11/2000,1.6861,3.220914714
317,12/11/2000,1.904,2.675833258
318,13/11/2000,1.7997,2.185419813
319,14/11/2000,1.5962,1.854452229
320,15/11/2000,1.426,1.654991045
321,16/11/2000,1.2929,1.507834153
322,17/11/2000,1.1764,1.413025631
323,18/11/2000,1.103,1.44564813
324,19/11/2000,1.4672,1.664413733
325,20/11/2000,1.2918,1.784997736
326,21/11/2000,1.0996,1.599709318
327,22/11/2000,1.0134,1.419961145
328,23/11/2000,0.9446,1.29219925
329,24/11/2000,0.8832,1.202952147
330,25/11/2000,0.8441,1.190850545
331,26/11/2000,0.9123,1.40194438
332,27/11/2000,1.1456,1.818766344
333,28/11/2000,0.9657,1.730609557
334,29/11/2000,1.5649,1.91053809
335,30/11/2000,1.6099,2.420334799
336,1/12/2000,1.2427,2.079233053
337,2/12/2000,1.1293,1.757945048
338,3/12/2000,1.1006,1.609556477
339,4/12/2000,1.8122,1.635970575
340,5/12/2000,1.5775,1.578968875
341,6/12/2000,1.378,1.415393924
342,7/12/2000,1.2529,1.272823051
343,8/12/2000,1.1742,1.166913472
344,9/12/2000,1.105,1.085750189
345,10/12/2000,1.0696,1.021638802
346,11/12/2000,1.0232,1.027812534
347,12/12/2000,1.1828,1.266113295
348,13/12/2000,1.3274,1.831782362
349,14/12/2000,1.6226,2.062871235
350,15/12/2000,1.4354,1.757866385
351,16/12/2000,1.251,1.512445396
352,17/12/2000,1.437,1.465448988
353,18/12/2000,1.4188,1.550725023
354,19/12/2000,1.2259,1.39942902
355,20/12/2000,1.1426,1.243997943
356,21/12/2000,1.0706,1.124801685
357,22/12/2000,1.0096,1.040168267
358,23/12/2000,0.9645,0.97101312
359,24/12/2000,0.9451,0.933203695
360,25/12/2000,0.9374,0.972083531
361,26/12/2000,1.1241,1.07101872
362,27/12/2000,1.044,1.002646583
363,28/12/2000,0.9008,0.914874309
364,29/12/2000,0.84,0.846077309
365,30/12/2000,0.7939,0.798495698
366,31/12/2000,0.7422,0.7579275
367,1/01/2001,0.7,0.721388372
368,2/01/2001,0.6638,0.688230821
369,3/01/2001,0.643,0.657943492
370,4/01/2001,0.6198,0.630121522
371,5/01/2001,0.5931,0.604449941
372,6/01/2001,0.5701,0.580705919
373,7/01/2001,0.5632,0.558740465
374,8/01/2001,0.558,0.538432862
375,9/01/2001,0.5246,0.519360474
376,10/01/2001,0.5048,0.501334211
377,11/01/2001,0.4956,0.484264259
378,12/01/2001,0.4761,0.468089227
379,13/01/2001,0.4576,0.452739161
380,14/01/2001,0.4423,0.438149853
381,15/01/2001,0.4256,0.424292491
382,16/01/2001,0.4117,0.411636184
383,17/01/2001,0.4599,0.401180149
384,18/01/2001,0.4805,0.392448591
385,19/01/2001,0.4307,0.381360085
386,20/01/2001,0.4033,0.370086688
387,21/01/2001,0.3888,0.359828223
388,22/01/2001,0.3886,0.350401058
389,23/01/2001,0.3834,0.341252731
390,24/01/2001,0.3646,0.336411145
391,25/01/2001,0.3664,0.344825595
392,26/01/2001,0.4006,0.36341726
393,27/01/2001,0.371,0.35222815
394,28/01/2001,0.3465,0.333634909
395,29/01/2001,0.3327,0.319158939
396,30/01/2001,0.327,0.309927635
397,31/01/2001,0.32,0.30179267
398,1/02/2001,0.3245,0.294027898
399,2/02/2001,0.3131,0.286562276
400,3/02/2001,0.2955,0.279362337
401,4/02/2001,0.2846,0.27243201
402,5/02/2001,0.2771,0.265745437
403,6/02/2001,0.2744,0.259303969
404,7/02/2001,0.2701,0.253144242
405,8/02/2001,0.2652,0.247287767
406,9/02/2001,0.2627,0.241621425
407,10/02/2001,0.2505,0.236109217
408,11/02/2001,0.2396,0.230760011
409,12/02/2001,0.2266,0.225590717
410,13/02/2001,0.2227,0.22061028
411,14/02/2001,0.2257,0.215821476
412,15/02/2001,0.2353,0.211185002
413,16/02/2001,0.2299,0.206684194
