"","5%","25%","50%","75%","95%"
"2803",0.445652871401144,0.649518580986258,0.801739138188238,1.02935950349658,1.430583606516
"2804",0.559092893617352,0.758483070326058,1.04648309405293,1.19894687767435,1.68306134175291
"2805",0.44110411758754,0.759496425204981,0.983026834066305,1.24388704573676,1.62312171545205
"2806",0.405901487532952,0.614764289794211,0.812393302639017,1.09112703840073,1.54264234438965
"2807",0.386533722294624,0.574707415404516,0.743938451092539,0.968671384789755,1.30007091559839
"2808",0.385268260981657,0.532057857036956,0.681696639521251,0.931356882031053,1.14550127403861
"2809",0.292762920922212,0.490362650842564,0.630652412556123,0.799809274247672,1.15056897142506
"2810",0.31594307788928,0.472781843218616,0.581009463184841,0.772389072852618,1.07340196714183
"2811",0.303116134340022,0.439141744767238,0.561323664424928,0.721253902943604,1.10405084478794
"2812",0.253747385754025,0.394618471602407,0.519017199560455,0.719423371212281,0.999763932871288
"2813",0.227675048776598,0.376265993232467,0.521847829045399,0.675154051654594,1.13326839360905
"2814",0.245179354641371,0.370787727576824,0.481739343671079,0.719667100787724,1.00276133841401
"2815",0.252107539731278,0.371614748014666,0.493024189934809,0.634272716059952,0.87268905359187
"2816",0.218111908126618,0.343408421150549,0.498207876355667,0.674527728869073,0.929457502710529
"2817",0.204945893874943,0.35289946042462,0.475847496543975,0.605354943520949,0.860771673415768
"2818",0.19609417662853,0.33700299894824,0.427973347245615,0.583112657723689,0.877735248327786
"2819",0.201929099466009,0.308279264796315,0.376331362413285,0.556363176590642,0.774062072937887
"2820",0.210957153212531,0.305342089938532,0.408509866275321,0.580189980962948,0.763783218082295
"2821",0.23065592742458,0.320543250917865,0.39000490586631,0.522259053504681,0.734836792261592
"2822",0.232386088226019,0.387732675662232,0.484851316160158,0.593405539779933,0.905695758450727
"2823",0.283955835247514,0.379627777052308,0.472350707738579,0.597659355090638,0.832564665307248
"2824",0.268101380907133,0.35973060752254,0.463614596057445,0.589143183210533,0.880414178564902
"2825",0.201877907174965,0.343167673602538,0.414449412576696,0.562399927615551,0.903479817537005
"2826",0.204011814227286,0.30819437900502,0.408037356257638,0.507182808855972,0.78222890900185
"2827",0.195906542158473,0.280628928516955,0.38012860581253,0.534319285943481,0.774919717628957
"2828",0.193932339908096,0.30249193209761,0.361213185633232,0.474565809451897,0.700108995712839
"2829",0.125626474059829,0.297656759196762,0.360281219651086,0.464112382782249,0.661189493668102
"2830",0.172811680980487,0.28845449770139,0.383391884295219,0.454521848232315,0.688216371499789
"2831",0.244123541571598,0.439932933909017,0.548819237747128,0.704988241559258,0.862437882746576
"2832",0.920177127454428,1.19312241554549,1.52329646342163,1.95679347841792,2.55885498000929
"2833",1.30486105520124,1.79207633042323,2.43857292387908,2.80585193483895,3.77476464399737
"2834",1.1238850796464,1.54327511247288,1.89658434029936,2.36236016772615,3.01331662780966
"2835",0.722321125695318,1.05717567604421,1.3042123190603,1.64803073456649,1.99968841907591
"2836",0.565607215976624,0.832150326294722,1.05091989501754,1.2773691997353,1.69829197329643
"2837",0.457056189336455,0.70479365859365,0.880392138578646,1.14648432981243,1.52016046030608
"2838",0.405127739710408,0.586985837560527,0.782789205552397,0.99401365065579,1.35308409932846
"2839",0.343483794653658,0.538446957333193,0.683507211776131,0.889246160072676,1.17111351374411
